iter	Passed	Remaining
0	191	191183
1	192	95932
2	192	64133
3	193	48240
4	194	38686
5	195	32347
6	196	27813
7	197	24438
8	197	21787
9	198	19673
10	199	17941
11	200	16509
12	201	15301
13	202	14278
14	203	13364
15	204	12564
16	205	11857
17	205	11234
18	206	10674
19	207	10178
20	208	9723
21	209	9306
22	210	8934
23	211	8587
24	212	8269
25	213	7979
26	214	7714
27	215	7476
28	216	7240
29	217	7020
30	217	6810
31	218	6620
32	219	6439
33	220	6265
34	221	6105
35	222	5953
36	223	5809
37	224	5673
38	225	5547
39	226	5434
40	227	5317
41	228	5207
42	229	5106
43	230	5004
44	231	4908
45	232	4815
46	233	4725
47	233	4640
48	234	4557
49	235	4480
50	237	4410
51	238	4341
52	239	4272
53	240	4208
54	241	4143
55	242	4079
56	242	4018
57	243	3961
58	244	3904
59	245	3849
60	246	3796
61	247	3746
62	248	3699
63	249	3653
64	250	3608
65	251	3562
66	252	3517
67	253	3468
68	253	3426
69	254	3386
70	255	3348
71	256	3309
72	257	3271
73	258	3234
74	259	3201
75	260	3169
76	261	3139
77	262	3105
78	263	3073
79	264	3041
80	265	3009
81	266	2979
82	266	2949
83	267	2919
84	268	2888
85	269	2860
86	269	2831
87	270	2804
88	271	2779
89	272	2755
90	273	2733
91	274	2709
92	275	2686
93	276	2662
94	277	2639
95	277	2616
96	278	2596
97	279	2575
98	280	2554
99	281	2533
100	282	2512
101	282	2490
102	284	2475
103	285	2457
104	286	2441
105	287	2424
106	288	2406
107	289	2388
108	289	2370
109	290	2352
110	291	2335
111	292	2319
112	293	2302
113	294	2286
114	294	2269
115	295	2253
116	296	2238
117	297	2224
118	298	2209
119	299	2194
120	300	2180
121	300	2165
122	301	2148
123	302	2134
124	302	2120
125	303	2107
126	304	2093
127	305	2078
128	305	2065
129	306	2053
130	307	2041
131	308	2029
132	309	2018
133	311	2011
134	312	1999
135	312	1987
136	313	1976
137	314	1963
138	315	1952
139	316	1941
140	316	1929
141	317	1918
142	318	1907
143	319	1897
144	320	1887
145	321	1877
146	322	1869
147	323	1860
148	323	1850
149	324	1840
150	325	1831
151	326	1821
152	327	1811
153	327	1801
154	328	1792
155	329	1784
156	330	1775
157	331	1767
158	332	1758
