iter	Passed	Remaining
0	1	1127
1	1	961
2	2	883
3	3	829
4	4	809
5	4	785
6	5	763
7	6	746
8	6	751
9	8	814
10	9	840
11	10	864
12	11	854
13	11	841
14	12	826
15	13	815
16	13	808
17	14	801
18	15	796
19	16	789
20	16	786
21	17	785
22	18	792
23	20	817
24	21	845
25	23	886
26	25	931
27	27	956
28	29	976
29	30	991
30	32	1016
31	34	1037
32	35	1048
33	38	1086
34	40	1116
35	42	1133
36	43	1139
37	45	1151
38	47	1173
39	49	1176
40	50	1177
41	52	1197
42	54	1222
43	56	1233
44	58	1236
45	59	1239
46	61	1242
47	62	1245
48	63	1240
49	65	1239
50	67	1250
51	68	1257
52	70	1253
53	71	1250
54	72	1247
55	73	1244
56	75	1241
57	76	1235
58	77	1229
59	78	1225
60	79	1219
61	80	1216
62	81	1215
63	83	1217
64	84	1214
65	85	1208
66	86	1202
67	87	1196
68	88	1191
69	89	1186
70	90	1180
71	91	1173
72	91	1167
73	92	1161
74	93	1153
75	94	1146
76	95	1146
77	96	1141
78	97	1138
79	98	1131
80	99	1125
81	99	1118
82	100	1108
83	101	1102
84	101	1096
85	102	1089
86	103	1083
87	103	1077
88	104	1070
89	105	1064
90	105	1058
91	106	1052
92	107	1045
93	107	1040
94	108	1034
95	109	1030
96	110	1031
97	112	1031
98	112	1027
99	113	1022
100	114	1018
101	115	1014
102	116	1010
103	116	1005
104	117	1000
105	117	995
106	118	990
107	119	985
108	119	980
109	120	975
110	121	971
111	121	966
112	122	962
113	123	958
114	124	961
115	125	958
116	126	956
117	127	952
118	128	949
119	128	945
120	129	942
121	130	937
122	130	933
123	131	930
124	132	926
125	133	922
126	133	918
127	134	914
128	134	910
129	135	907
130	136	904
131	137	901
132	137	898
133	138	896
134	139	895
135	141	896
136	141	894
137	142	891
138	143	888
139	144	886
140	145	884
141	145	879
142	146	876
143	146	873
144	147	870
145	148	867
146	149	865
147	149	862
148	150	859
149	151	856
150	151	852
151	152	851
152	153	852
153	155	852
154	156	851
155	156	849
156	157	846
157	158	843
158	158	840
159	159	838
160	160	834
161	160	832
162	161	829
163	162	826
164	162	823
165	163	821
166	164	818
167	164	815
168	165	813
169	166	810
170	166	808
171	167	808
172	168	807
173	170	808
174	171	807
175	172	805
176	172	803
177	173	801
178	175	803
179	176	802
180	176	800
181	177	797
182	178	794
183	178	792
184	179	789
185	179	786
186	180	785
187	181	783
188	182	784
189	183	783
190	184	783
191	186	782
192	186	781
193	187	778
194	188	777
195	189	776
196	190	774
197	190	772
198	191	770
199	192	768
200	192	765
201	193	763
202	193	761
203	194	758
204	195	756
205	195	754
206	196	752
207	197	752
208	198	750
209	199	749
210	200	749
211	201	749
212	202	748
213	203	746
214	204	745
215	204	743
216	205	742
217	206	740
218	206	737
219	207	735
220	208	733
221	208	731
222	209	729
223	209	727
224	211	728
225	212	728
226	213	727
227	214	727
228	215	725
229	216	723
230	216	722
231	217	720
232	218	719
233	219	717
234	219	715
235	220	713
236	221	711
237	221	709
238	222	707
239	222	705
240	223	703
241	224	701
242	224	700
243	225	700
244	227	699
245	228	700
246	229	699
247	230	697
248	230	696
249	231	694
250	232	692
251	232	690
252	233	688
253	233	686
254	234	684
255	234	682
256	235	681
257	236	679
258	236	677
259	237	675
260	238	674
261	238	672
262	239	670
263	239	668
264	241	668
265	242	668
266	243	667
267	243	665
268	244	664
269	245	662
270	245	660
271	246	658
272	246	657
273	247	655
274	247	653
275	248	652
276	249	650
277	249	648
278	250	647
279	251	645
280	251	644
281	252	642
282	252	640
283	253	639
284	254	638
285	255	638
286	256	637
287	257	636
288	258	635
289	258	633
290	259	631
291	260	630
292	261	630
293	261	628
294	262	626
295	262	625
296	263	623
297	263	621
298	264	620
299	265	618
300	265	616
301	266	615
302	267	614
303	267	613
304	268	611
305	269	610
306	270	610
307	271	609
308	271	607
309	272	606
310	273	605
311	274	604
312	274	602
313	275	601
314	275	599
315	276	598
316	276	596
317	277	594
318	278	594
319	279	593
320	279	591
321	280	590
322	280	588
323	281	587
324	282	585
325	282	584
326	283	583
327	284	583
328	286	584
329	287	583
330	287	581
331	288	580
332	288	578
333	289	577
334	289	575
335	290	574
336	291	573
337	292	571
338	292	571
339	293	569
340	294	568
341	294	567
342	295	565
343	295	564
344	296	562
345	297	562
346	298	561
347	299	561
348	300	560
349	301	559
350	302	558
351	302	557
352	303	556
353	304	555
354	305	554
355	305	553
356	306	551
357	306	550
358	307	549
359	308	547
360	308	546
361	309	544
362	310	544
363	311	544
364	312	542
365	312	541
366	313	540
367	314	540
368	315	539
369	316	539
370	317	538
371	318	537
372	319	536
373	319	535
374	320	533
375	320	532
376	321	531
377	322	530
378	323	529
379	323	528
380	324	526
381	324	525
382	325	524
383	326	523
384	326	521
385	327	520
386	327	519
387	328	518
388	329	517
389	330	517
390	331	516
391	332	515
392	332	514
393	333	513
394	334	512
395	335	511
396	335	509
397	336	508
398	337	507
399	337	506
400	338	505
401	338	504
402	339	503
403	340	501
404	341	501
405	341	500
406	342	499
407	343	498
408	344	497
409	345	497
410	346	496
411	347	495
412	348	495
413	349	494
414	349	492
415	350	491
416	350	490
417	351	489
418	351	488
419	352	486
420	353	486
421	354	486
422	355	485
423	356	484
424	358	484
425	359	484
426	360	483
427	360	482
428	362	481
429	362	481
430	363	480
431	364	479
432	365	478
433	365	477
434	366	476
435	367	475
436	368	474
437	368	473
438	369	472
439	370	471
440	370	470
441	371	468
442	372	468
443	373	468
444	374	467
445	376	467
446	377	466
447	377	465
448	378	464
449	379	463
450	380	462
451	380	461
452	381	460
453	382	459
454	382	458
455	383	457
456	384	457
457	385	456
458	386	455
459	387	455
460	388	454
461	390	454
462	390	453
463	391	452
464	392	451
465	393	450
466	393	449
467	394	448
468	395	447
469	396	446
470	397	445
471	397	445
472	398	443
473	398	442
474	399	441
475	400	440
476	400	439
477	402	439
478	403	438
479	404	438
480	405	437
481	406	436
482	406	435
483	407	434
484	408	433
485	409	432
486	409	431
487	410	430
488	410	429
489	411	428
490	412	427
491	413	426
492	413	425
493	414	424
494	414	423
495	415	422
496	416	421
497	417	421
498	418	420
499	419	419
500	420	418
501	421	417
502	421	416
503	422	415
504	423	414
505	423	413
506	424	412
507	425	411
508	425	410
509	426	409
510	427	408
511	427	407
512	428	406
513	428	405
514	429	404
515	430	403
516	431	403
517	432	402
518	433	401
519	434	401
520	435	400
521	435	399
522	436	397
523	436	396
524	437	395
525	438	394
526	438	393
527	439	393
528	440	391
529	440	390
530	441	389
531	442	388
532	442	387
533	443	386
534	443	385
535	444	384
536	445	383
537	446	383
538	447	382
539	448	381
540	449	381
541	449	380
542	450	379
543	451	378
544	452	377
545	452	376
546	453	375
547	454	374
548	454	373
549	455	372
550	456	371
551	456	370
552	457	369
553	458	368
554	458	367
555	459	367
556	460	366
557	461	365
558	462	365
559	463	364
560	464	363
561	465	362
562	465	361
563	466	360
564	467	359
565	467	358
566	468	357
567	469	356
568	470	356
569	470	355
570	471	354
571	472	353
572	473	352
573	473	351
574	474	350
575	475	350
576	477	349
577	477	348
578	478	347
579	479	347
580	479	346
581	480	345
582	481	344
583	482	343
584	483	342
585	483	341
586	484	340
587	485	340
588	485	339
589	486	338
590	487	337
591	487	336
592	488	335
593	489	334
594	490	334
595	491	333
596	492	332
597	493	331
598	494	330
599	494	329
600	495	329
601	496	328
602	497	327
603	497	326
604	498	325
605	499	324
606	499	323
607	500	322
608	501	321
609	501	320
610	502	319
611	503	318
612	504	318
613	505	317
614	506	317
615	507	316
616	508	315
617	509	314
618	509	313
619	510	312
620	511	312
621	511	311
622	512	310
623	513	309
624	513	308
625	514	307
626	515	306
627	515	305
628	516	304
629	517	303
630	517	302
631	518	302
632	520	301
633	521	300
634	521	299
635	522	299
636	523	298
